Using proactor: IocpProactor
('192.168.43.106', '0.539', '0.278', '-1.814')
('192.168.43.106', '0.539', '0.273', '-1.814')
('192.168.43.106', '0.538', '0.260', '-1.814')
('192.168.43.106', '0.537', '0.262', '-1.814')
('192.168.43.106', '0.537', '0.264', '-1.814')
('192.168.43.106', '0.536', '0.259', '-1.814')
('192.168.43.106', '0.535', '0.302', '-1.814')
('192.168.43.106', '0.535', '0.330', '-1.814')
('192.168.43.106', '0.534', '0.313', '-1.814')
('192.168.43.106', '0.534', '0.330', '-1.814')
('192.168.43.106', '0.534', '0.362', '-1.814')
('192.168.43.106', '0.533', '0.342', '-1.814')
('192.168.43.106', '0.533', '0.359', '-1.814')
('192.168.43.106', '0.532', '0.350', '-1.814')
('192.168.43.106', '0.532', '0.427', '-1.814')
('192.168.43.106', '0.532', '0.490', '-1.814')
('192.168.43.106', '0.532', '0.467', '-1.814')
('192.168.43.106', '0.532', '0.447', '-1.814')
('192.168.43.106', '0.532', '0.528', '-1.814')
('192.168.43.106', '0.532', '0.591', '-1.814')
('192.168.43.106', '0.532', '0.560', '-1.814')
('192.168.43.106', '0.532', '0.525', '-1.814')
('192.168.43.106', '0.532', '0.500', '-1.814')
('192.168.43.106', '0.531', '0.470', '-1.814')
('192.168.43.106', '0.531', '0.451', '-1.814')
('192.168.43.106', '0.531', '0.465', '-1.814')
('192.168.43.106', '0.531', '0.450', '-1.814')
('192.168.43.106', '0.531', '0.430', '-1.814')
('192.168.43.106', '0.530', '0.416', '-1.814')
('192.168.43.106', '0.530', '0.414', '-1.814')
('192.168.43.106', '0.530', '0.434', '-1.814')
('192.168.43.106', '0.530', '0.413', '-1.814')
('192.168.43.106', '0.529', '0.403', '-1.814')
('192.168.43.106', '0.529', '0.390', '-1.814')
('192.168.43.106', '0.529', '0.406', '-1.814')
('192.168.43.106', '0.529', '0.381', '-1.814')
('192.168.43.106', '0.528', '0.361', '-1.814')
('192.168.43.106', '0.528', '0.339', '-1.814')
('192.168.43.106', '0.527', '0.333', '-1.814')
('192.168.43.106', '0.527', '0.313', '-1.814')
('192.168.43.106', '0.526', '0.335', '-1.814')
('192.168.43.106', '0.526', '0.373', '-1.814')
('192.168.43.106', '0.526', '0.354', '-1.814')
('192.168.43.106', '0.525', '0.337', '-1.814')
('192.168.43.106', '0.525', '0.333', '-1.814')
('192.168.43.106', '0.524', '0.313', '-1.814')
('192.168.43.106', '0.524', '0.294', '-1.814')
('192.168.43.106', '0.523', '0.292', '-1.814')
('192.168.43.106', '0.523', '0.303', '-1.814')
('192.168.43.106', '0.522', '0.290', '-1.814')
('192.168.43.106', '0.522', '0.325', '-1.814')
('192.168.43.106', '0.522', '0.392', '-1.814')
('192.168.43.106', '0.521', '0.425', '-1.814')
('192.168.43.106', '0.521', '0.408', '-1.814')
('192.168.43.106', '0.521', '0.387', '-1.814')
('192.168.43.106', '0.521', '0.374', '-1.814')
('192.168.43.106', '0.520', '0.383', '-1.814')
('192.168.43.106', '0.520', '0.362', '-1.814')
('192.168.43.106', '0.520', '0.347', '-1.814')
('192.168.43.106', '0.519', '0.370', '-1.814')
('192.168.43.106', '0.519', '0.384', '-1.814')
('192.168.43.106', '0.519', '0.365', '-1.814')
('192.168.43.106', '0.518', '0.347', '-1.814')
('192.168.43.106', '0.518', '0.342', '-1.814')
('192.168.43.106', '0.518', '0.332', '-1.814')
('192.168.43.106', '0.517', '0.340', '-1.814')
('192.168.43.106', '0.517', '0.325', '-1.814')
('192.168.43.106', '0.516', '0.348', '-1.814')
('192.168.43.106', '0.516', '0.381', '-1.814')
('192.168.43.106', '0.516', '0.390', '-1.814')
('192.168.43.106', '0.516', '0.421', '-1.814')
('192.168.43.106', '0.515', '0.409', '-1.814')
('192.168.43.106', '0.515', '0.385', '-1.814')
('192.168.43.106', '0.515', '0.369', '-1.814')
('192.168.43.106', '0.515', '0.353', '-1.814')
('192.168.43.106', '0.514', '0.336', '-1.814')
('192.168.43.106', '0.514', '0.315', '-1.814')
('192.168.43.106', '0.513', '0.303', '-1.814')
('192.168.43.106', '0.513', '0.306', '-1.814')
('192.168.43.106', '0.513', '0.315', '-1.814')
('192.168.43.106', '0.512', '0.297', '-1.814')
